Email id,From Name,From seniority,From Department,To Name,To seniority,To Department,Email topic,Date,Is opened?,Device,Within work hours,Within workdays,Department color,Department aura,Predicted_Sentiment,Confidence_Score
1,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,2024-03-14,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
2,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-22,opened,mobile,no,yes,red,aura1,neutral,0.8412798047065735
3,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,2024-03-26,unopened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
4,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-11,opened,mobile,yes,yes,red,aura1,neutral,0.8412798047065735
5,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-11,opened,mobile,yes,yes,red,aura1,neutral,0.8412798047065735
6,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Training and Development,2024-03-14,opened,desktop,yes,yes,red,aura1,neutral,0.6831164360046387
7,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
8,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,2024-03-07,opened,desktop,yes,yes,red,aura1,neutral,0.6831164360046387
9,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-27,opened,mobile,yes,yes,red,aura1,neutral,0.8176727890968323
10,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-29,opened,mobile,yes,yes,red,aura1,neutral,0.8804826140403748
11,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-28,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
12,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Client Related Communication,2024-03-26,unopened,desktop,yes,yes,red,aura1,neutral,0.83217453956604
13,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-20,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
14,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Operational Issues,2024-03-06,opened,desktop,no,yes,red,aura1,negative,0.5376729369163513
15,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
16,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Product Development,2024-03-28,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
17,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,2024-03-29,opened,desktop,no,yes,red,aura1,neutral,0.7993121147155762
18,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-06,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
19,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-22,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
20,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-19,opened,desktop,yes,yes,red,aura1,neutral,0.8016245365142822
21,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.8016245365142822
22,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-15,opened,mobile,yes,yes,red,aura1,neutral,0.7378632426261902
23,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,2024-03-04,unopened,mobile,yes,yes,red,aura1,positive,0.5200981497764587
24,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Technical Support,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
25,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-29,unopened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
26,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Operational Issues,2024-03-11,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
27,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-19,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
28,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,2024-03-12,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
29,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Training and Development,2024-03-04,opened,mobile,yes,yes,red,aura1,neutral,0.6831164360046387
30,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-18,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
31,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-12,opened,mobile,no,yes,red,aura1,neutral,0.7378632426261902
32,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-28,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
33,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-17,unopened,desktop,no,no,red,aura1,neutral,0.7378632426261902
34,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Project Updates,2024-03-11,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
35,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Meeting Scheduling,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
36,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-28,opened,desktop,no,yes,red,aura1,neutral,0.7378632426261902
37,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-29,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
38,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Project Updates,2024-03-12,opened,mobile,yes,yes,red,aura1,neutral,0.808040976524353
39,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Meeting Scheduling,2024-03-22,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
40,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Legal Matters,2024-03-29,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
41,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-05,opened,mobile,no,yes,red,aura1,neutral,0.7378632426261902
42,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
43,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Legal Matters,2024-03-29,opened,desktop,no,yes,red,aura1,neutral,0.7993121147155762
44,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-27,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
45,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-15,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
46,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Internal Policies and Procedures,2024-03-22,opened,mobile,yes,yes,red,aura1,neutral,0.8016245365142822
47,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,2024-03-19,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
48,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-12,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
49,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Security Alerts,2024-03-07,opened,desktop,no,yes,red,aura1,neutral,0.8322566151618958
50,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-25,opened,desktop,no,yes,red,aura1,neutral,0.6735418438911438
51,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-13,opened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
52,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-08,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
53,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-25,opened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
54,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-11,opened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
